,price
0,3439.862
1,3447.764
2,3450.756
3,3444.7709999999997
4,3442.619
5,3446.7690000000002
6,3448.685
7,3452.9190000000003
8,3450.76
9,3448.845
10,3448.847
11,3446.09
12,3439.712
13,3440.7090000000003
14,3439.9440000000004
15,3438.868
16,3442.8579999999997
17,3443.861
18,3441.788
19,3433.7290000000003
20,3427.671
21,3425.8059999999996
22,3423.8109999999997
23,3426.9559999999997
24,3426.8790000000004
25,3430.87
26,3436.955
27,3433.0429999999997
28,3432.886
29,3437.802
30,3443.9440000000004
31,3443.947
32,3442.8709999999996
33,3450.8579999999997
34,3448.022
35,3448.705
36,3450.7009999999996
37,3453.764
38,3453.921
39,3456.915
40,3462.8990000000003
41,3469.573
42,3432.289
43,3447.938
44,3446.94
45,3444.1820000000002
46,3443.184
47,3445.179
48,3434.725
49,3447.381
50,3450.39
51,3452.3070000000002
52,3449.158
53,3446.087
54,3439.255
55,3438.1809999999996
56,3441.1740000000004
57,3432.039
58,3432.803
59,3432.9590000000003
60,3440.0440000000003
61,3445.9509999999996
62,3440.962
63,3438.889
64,3440.1209999999996
65,3440.055
66,3440.8959999999997
67,3442.7329999999997
68,3440.887
69,3441.885
70,3445.953
71,3442.0409999999997
72,3439.042
73,3438.8790000000004
74,3441.8720000000003
75,3442.789
76,3443.9429999999998
77,3446.857
78,3444.099
79,3449.009
80,3444.862
81,3444.0209999999997
82,3443.0240000000003
83,3446.075
84,3444.9990000000003
85,3443.845
86,3442.848
87,3434.113
88,3432.028
89,3433.2129999999997
90,3430.13
91,3432.1240000000003
92,3432.1240000000003
93,3436.117
94,3433.941
95,3431.855
96,3432.0370000000003
97,3431.13
98,3433.079
99,3434.167
100,3431.903
101,3434.982
102,3435.073
103,3431.991
104,3429.7859999999996
105,3425.074
106,3421.265
107,3408.018
108,3406.905
109,3406.902
110,3416.865
111,3417.862
112,3423.945
113,3425.131
114,3418.06
115,3419.781
116,3418.784
117,3417.7870000000003
118,3420.961
119,3421.684
120,3417.8779999999997
121,3423.4959999999996
122,3426.487
123,3424.68
124,3424.677
125,3432.39
126,3427.7729999999997
127,3425.506
128,3415.8940000000002
129,3421.79
130,3418.9809999999998
131,3420.884
132,2963.745
133,2974.8940000000002
134,2963.7690000000002
135,2977.42
136,2973.863
137,2975.6490000000003
138,2965.8990000000003
139,2968.563
140,2968.099
141,2964.5359999999996
142,2970.73
143,2970.9440000000004
144,2968.384
145,2967.387
146,2941.2309999999998
147,2936.566
148,2936.348
149,2936.342
150,2936.342
151,2936.327
152,2936.325
153,2936.325
154,2936.32
155,2936.3179999999998
156,2936.3190000000004
157,2936.3190000000004
158,2936.315
159,2936.3140000000003
160,2936.312
161,2936.304
162,2936.3059999999996
163,2936.3059999999996
164,2936.2990000000004
165,2936.2990000000004
166,2936.298
167,2936.298
168,2936.298
169,2936.298
170,2936.298
171,2936.298
172,2936.298
173,2936.298
174,2936.2990000000004
175,2936.2990000000004
176,2936.296
177,2927.05
178,2935.012
179,2941.065
180,2918.363
181,2929.2270000000003
182,2908.518
183,2892.7470000000003
184,2902.815
185,2896.5290000000005
186,2903.801
187,2911.478
188,2907.381
189,2902.8
190,2905.592
191,2908.699
192,2904.9159999999997
193,2876.982
194,2886.954
195,2874.687
196,2874.788
197,2878.574
198,2870.006
199,2864.3920000000003
200,2845.994
201,2821.244
202,2832.3059999999996
203,2848.225
204,2843.04
205,2860.132
206,2860.232
207,2867.2209999999995
208,2863.133
209,2872.917
210,2870.125
211,2881.91
212,2897.173
213,2896.0690000000004
214,2892.475
215,2910.5209999999997
216,2893.862
217,2883.9829999999997
218,2894.947
219,2897.857
220,2898.038
221,2895.6240000000003
222,2618.824
223,2618.769
224,2645.2870000000003
225,2619.953
226,2632.4359999999997
227,2635.4240000000004
228,2657.756
229,2683.345
230,2702.118
231,2756.3520000000003
232,2714.9840000000004
233,2694.013
234,2692.21
235,2691.607
236,2694.542
237,2718.407
238,2713.5209999999997
239,2698.6059999999998
240,2697.758
241,2705.817
242,2698.915
243,2693.1290000000004
244,2633.022
245,2661.1929999999998
246,2664.2340000000004
247,2653.8309999999997
248,2659.211
249,2700.191
250,2695.2270000000003
251,2703.1620000000003
252,2699.798
253,2713.475
254,2702.41
255,2703.645
256,2708.8779999999997
257,2707.3559999999998
258,2712.055
259,2690.598
260,2684.492
261,2694.065
262,2703.473
263,2707.282
264,2716.341
265,2714.7290000000003
266,2704.282
267,2817.324
268,2812.116
269,2806.259
270,2775.397
271,2784.679
272,2767.7509999999997
273,2766.572
274,2746.387
275,2761.28
276,2757.304
277,2760.3059999999996
278,2757.369
279,2752.796
280,2751.8
281,2753.658
282,2756.7690000000002
283,2756.7690000000002
284,2751.2459999999996
285,2738.783
286,2742.525
287,2744.237
288,2757.8959999999997
289,2754.9309999999996
290,2761.637
291,2756.9829999999997
292,2761.967
293,2762.829
294,2752.1459999999997
295,2748.097
296,2753.804
297,2747.002
